QuestionID;Type;Question;Choix;Réponse;Thème;RéférenceCours;MotCléRecherchePDF;Leçon;PagePDF;TexteRecherchePDF
"1";"VraiFaux";"Un virus peut-il être caché dans un fichier PDF ou dans une photo ?";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"virus PDF photo";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"virus PDF photo"
"2";"VraiFaux";"Est-il prudent de cliquer sur un lien envoyé par une personne inconnue ?";"";"Faux";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"liens inconnus prudence";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"liens inconnus prudence"
"3";"QCM";"Quels moyens sont souvent utilisés pour transmettre un virus informatique ?";"Une clé USB.|Une pièce jointe reçue par e-mail.|Un lien reçu dans un SMS ou WhatsApp.|Une imprimante.";"Une clé USB.|Une pièce jointe reçue par e-mail.|Un lien reçu dans un SMS ou WhatsApp.";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"sources infection";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"sources infection"
"4";"Compléter";"Quel est le nom du logiciel antivirus installé sur l’ordinateur ?";"";"Malwarebytes";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"Malwarebytes";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"Malwarebytes"
"5";"QCM";"Quels signes peuvent montrer que l’ordinateur est infecté par un virus ?";"Un ralentissement de l’ordinateur.|La souris se bloque.|L’ordinateur redémarre en boucle.|Il démarre beaucoup plus rapidement.";"Un ralentissement de l’ordinateur.|La souris se bloque.|L’ordinateur redémarre en boucle.";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"symptômes infection";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"symptômes infection"
"6";"VraiFaux";"Faut-il devenir paranoïaque pour éviter toutes les attaques informatiques ?";"";"Faux";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"rester prudent";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"rester prudent"
"7";"QCM";"Quels sont les trois endroits où une sauvegarde est prévue selon le cours ?";"Une clé USB Patriot.|Une sauvegarde chez le formateur.|Google Drive.|Un DVD gravé.";"Une clé USB Patriot.|Une sauvegarde chez le formateur.|Google Drive.";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"sauvegarde clé formateur drive";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"sauvegarde clé formateur drive"
"8";"Compléter";"La clé USB Patriot a une capacité d’environ ______ Go.";"";"1000";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"clé Patriot 1 To";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"Patriot"
"9";"QCM";"Où faut-il enregistrer ses fichiers pour éviter de les perdre en cas de réinstallation ?";"Dans C:\Users\....|Dans Google Drive.|Sur le Bureau.|Dans Téléchargements.";"Dans Google Drive.";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"Google Drive recommandé";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"Google Drive recommandé"
"10";"VraiFaux";"OneDrive propose-t-il environ 15 Go gratuits ?";"";"Vrai";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"OneDrive 15 Go";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"OneDrive 15 Go"
"11";"QCM";"Quels types de fichiers un antivirus peut-il analyser avant leur ouverture ?";"Un fichier PDF.|Une photo.|Un fichier ZIP.|Le thème Windows.";"Un fichier PDF.|Une photo.|Un fichier ZIP.";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"analyse antivirus";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"analyse antivirus"
"12";"Compléter";"La bonne pratique est de ________ le dossier Téléchargements régulièrement.";"";"assainir/nettoyer";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"nettoyage Téléchargements";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"nettoyage Téléchargements"
"13";"VraiFaux";"Partager ses mots de passe via une clé USB familiale est-il conseillé ?";"";"Faux";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"mots de passe confidentialité";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"mots de passe confidentialité"
"14";"QCM";"Quel abonnement Google Drive est recommandé dans le cours ?";"L’offre gratuite 15 Go.|L’abonnement Premium Workspace 2 To.|Un abonnement Entreprise 5 To.";"L’abonnement Premium Workspace 2 To.";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"Workspace 2 To 99,99€";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"Workspace 2 To 99,99€"
"15";"Compléter";"La sauvegarde système est effectuée avec __________ Reflect.";"";"Macrium";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"Macrium Reflect";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"Macrium Reflect"
"16";"VraiFaux";"Une sauvegarde trimestrielle avec Macrium Reflect est-elle recommandée ?";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"sauvegarde trimestrielle";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"sauvegarde trimestrielle"
"17";"QCM";"Que faut-il faire après un nettoyage réussi avec Glary Utilities ?";"Éteindre l’ordinateur.|Redémarrer l’ordinateur.|Désinstaller Glary.";"Redémarrer l’ordinateur.";"Divers & Maintenance PC";"Leçon 033 — Glary Utilities";"Glary redémarrer";"Leçon 033 — Glary Utilities";"42";"Glary redémarrer"
"18";"Compléter";"En cas d’erreur disque détectée par Glary Utilities, il faut __________.";"";"appeler le formateur";"Divers & Maintenance PC";"Leçon 033 — Glary Utilities";"erreur disque appeler";"Leçon 033 — Glary Utilities";"43";"erreur disque appeler"
"19";"VraiFaux";"Séparer les sessions limite-t-il la propagation des virus et protège-t-il la confidentialité ?";"";"Vrai";"Sécurité & Sauvegarde";"Leçon 032 — Cloisonnement des sessions";"cloisonnement sessions";"Leçon 032 — Cloisonnement des sessions";"41";"cloisonnement sessions"
"20";"QCM";"Quels emplacements de sauvegarde sont mentionnés dans le cours ?";"La Clé Patriot.|Le SSD du formateur.|Un compte Google payant.|Un lecteur CD.";"La Clé Patriot.|Le SSD du formateur.|Un compte Google payant.";"Sécurité & Sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"emplacements sauvegarde";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"emplacements sauvegarde"
"21";"VraiFaux";"La session Administrateur est-elle réservée aux installations et dépannages ?";"";"Vrai";"Windows 11 & Fichiers";"Leçon 001 — Sessions Windows";"session administrateur";"Leçon 001 — Sessions Windows";"4";"session administrateur"
"22";"VraiFaux";"La session Renata est-elle la session principale pour travailler ?";"";"Vrai";"Windows 11 & Fichiers";"Leçon 001 — Sessions Windows";"session Renata";"Leçon 001 — Sessions Windows";"4";"session Renata"
"23";"QCM";"Quelles méthodes permettent d’ouvrir le menu Windows ?";"Un clic gauche sur l’icône du menu.|Un clic droit pour afficher le menu contextuel.|Utiliser Ctrl+Alt+Suppr.";"Un clic gauche sur l’icône du menu.|Un clic droit pour afficher le menu contextuel.";"Windows 11 & Fichiers";"Leçon 005 — Menu Windows";"menu Windows";"Leçon 005 — Menu Windows";"12";"menu Windows"
"24";"Compléter";"Le raccourci pour ouvrir l’Explorateur de fichiers est __________.";"";"Windows+E";"Windows 11 & Fichiers";"Leçon 006 — Explorateur Windows";"raccourci explorateur";"Leçon 006 — Explorateur Windows";"13";"raccourci explorateur"
"25";"QCM";"Comment ancrer une fenêtre à gauche ou à droite de l’écran ?";"Windows+Flèche gauche.|Windows+Flèche droite.|Alt+Tab.|Windows+D.";"Windows+Flèche gauche.|Windows+Flèche droite.";"Windows 11 & Fichiers";"Leçon 007 — Ancrage de fenêtres";"ancrage fenêtres";"Leçon 007 — Ancrage de fenêtres";"13";"ancrage fenêtres"
"26";"VraiFaux";"Peut-on copier des éléments en les glissant et en vérifiant l’étiquette Copier ?";"";"Vrai";"Windows 11 & Fichiers";"Leçon 008 — Copier/Coller";"glisser copier";"Leçon 008 — Copier/Coller";"15";"glisser copier"
"27";"QCM";"Quelle touche permet de basculer entre Copier et Déplacer lors d’un glisser-déposer ?";"La touche Maj (Shift).|La touche Ctrl.|La touche Alt.";"La touche Maj (Shift).";"Windows 11 & Fichiers";"Leçon 008 — Copier/Coller";"bascule copier déplacer";"Leçon 008 — Copier/Coller";"15";"bascule copier déplacer"
"28";"Compléter";"Le raccourci clavier pour Couper est __________.";"";"Ctrl+X";"Windows 11 & Fichiers";"Leçon 008 — Copier/Coller";"raccourci couper";"";"15";"raccourci couper"
"29";"QCM";"Quelles méthodes permettent de sélectionner plusieurs éléments ?";"Shift+clic.|Ctrl+clic.|Cliquer-glisser.|Ctrl+A.";"Shift+clic.|Ctrl+clic.|Cliquer-glisser.|Ctrl+A.";"Windows 11 & Fichiers";"Leçon 010 — Sélectionner";"sélections";"Leçon 010 — Sélectionner";"18";"sélections"
"30";"VraiFaux";"Est-il conseillé d’utiliser des espaces et des accents dans les noms de fichiers ?";"";"Faux";"Windows 11 & Fichiers";"Leçon 012-014 — Nommer les fichiers";"noms fichiers";"Leçon 012-014 — Nommer les fichiers";"22";"noms fichiers"
"31";"QCM";"Quels caractères sont interdits dans les noms de fichiers Windows ?";"<|>|:|""|/|\|\||\?|*.";"<|>|:|""|/|\|\||\?|*.";"Windows 11 & Fichiers";"Leçon 014 — Caractères interdits";"caractères interdits";"Leçon 014 — Caractères interdits";"24";"caractères interdits"
"32";"Compléter";"La bonne pratique est d’éviter les ________ trop longs.";"";"noms de fichiers";"Windows 11 & Fichiers";"Leçon 017 — Bonnes pratiques";"nom trop long";"Leçon 017 — Bonnes pratiques";"25";"nom trop long"
"33";"QCM";"Quels outils de recherche sont cités dans le cours ?";"L’Explorateur Windows.|Everything.|Spotlight.";"L’Explorateur Windows.|Everything.";"Windows 11 & Fichiers";"Leçon 018-021 — Recherche Windows";"recherche Everything";"Leçon 018-021 — Recherche Windows";"25";"recherche Everything"
"34";"VraiFaux";"Les filtres de recherche utilisent-ils des mots-clés en anglais comme size, type ou author ?";"";"Vrai";"Windows 11 & Fichiers";"Leçon 020 — Les différentes méthodes de recherche";"filtres anglais";"Leçon 020 — Les différentes méthodes de recherche";"26";"filtres anglais"
"35";"Compléter";"Quel est le caractère générique utilisé pour remplacer n’importe quels caractères ?";"";"*";"Windows 11 & Fichiers";"Leçon 020 — Les différentes méthodes de recherche";"joker étoile";"Leçon 020 — Les différentes méthodes de recherche";"25";"joker étoile"
"36";"Compléter";"Pour sélectionner tout le contenu d’un dossier, on utilise __________.";"";"Ctrl+A";"Windows 11 & Fichiers";"Leçon 010 — Sélectionner";"Ctrl+A";"Leçon 010 — Sélectionner";"20";"Ctrl+A"
"37";"QCM";"Où peut-on trouver les différentes sessions dans l’écran de connexion ?";"Le profil Administrateur.|Le profil Renata.|Le profil Famille.|Un profil Invité masqué.";"Le profil Administrateur.|Le profil Renata.|Le profil Famille.";"Windows 11 & Fichiers";"Leçon 001 — Sessions Windows";"sessions";"Leçon 001 — Sessions Windows";"4";"sessions"
"38";"VraiFaux";"Le raccourci Windows+D permet-il d’afficher ou de masquer le Bureau ?";"";"Vrai";"Windows 11 & Fichiers";"Raccourcis — Windows";"Windows+D";"Raccourcis — Windows";"35";"Windows+D"
"39";"QCM";"Quels éléments peuvent être réglés dans le volet Réglages rapides ?";"Le Wi-Fi.|Le Bluetooth.|Le Mode avion.|La luminosité.|Le son.|La batterie.";"Le Wi-Fi.|Le Bluetooth.|Le Mode avion.|La luminosité.|Le son.|La batterie.";"Windows 11 & Fichiers";"Leçon 004 — Réglages rapides";"réglages rapides";"Leçon 004 — Réglages rapides";"11";"réglages rapides"
"40";"Compléter";"Pour verrouiller la session, utiliser __________.";"";"Windows+L";"Windows 11 & Fichiers";"Raccourcis — Windows";"verrouiller session";"Raccourcis — Windows";"35";"verrouiller session"
"41";"VraiFaux";"Alt+F4 permet-il de fermer la fenêtre active ?";"";"Vrai";"Windows 11 & Fichiers";"Raccourcis — Windows";"Alt+F4";"Raccourcis — Windows";"35";"Alt+F4"
"42";"QCM";"Quelle combinaison ouvre directement le Gestionnaire des tâches ?";"Ctrl+Maj+Échap.|Ctrl+Alt+Suppr.|Alt+Tab.";"Ctrl+Maj+Échap.";"Windows 11 & Fichiers";"Raccourcis — Windows";"gestionnaire tâches";"Raccourcis — Windows";"35";"gestionnaire tâches"
"43";"Compléter";"Pour annuler une action : __________ ; pour rétablir : __________.";"";"Ctrl+Z ; Ctrl+Y";"Windows 11 & Fichiers";"Raccourcis — Windows";"annuler rétablir";"Raccourcis — Windows";"35";"annuler rétablir"
"44";"QCM";"Quels emplacements faut-il éviter pour stocker durablement ?";"C:\Users\Nom\Documents.|Le Bureau.|Google Drive.";"C:\Users\Nom\Documents.|Le Bureau.";"Divers & Maintenance PC";"LES MESURES DE SÉCURITÉ À ADOPTER";"emplacement éviter";"LES MESURES DE SÉCURITÉ À ADOPTER";"5";"emplacement éviter"
"45";"VraiFaux";"Un nom de fichier doit-il rester concis et éviter les mots inutiles ?";"";"Vrai";"Windows 11 & Fichiers";"Leçon 017 — Bonnes pratiques";"noms concis";"Leçon 017 — Bonnes pratiques";"25";"noms concis"
"46";"QCM";"Quels logiciels de traitement de texte sont cités dans le cours ?";"Microsoft Word.|LibreOffice Writer.|Google Docs.|Paint.";"Microsoft Word.|LibreOffice Writer.|Google Docs.";"Logiciels & Bureautique";"Leçon 022-023-026 — Traitement de texte";"traitement de texte";"Leçon 022-023-026 — Traitement de texte";"28";"traitement de texte"
"47";"VraiFaux";"Google Docs enregistre-t-il automatiquement dans le cloud ?";"";"Vrai";"Logiciels & Bureautique";"Leçon 023 — Google Docs";"enregistrement auto";"Leçon 023 — Google Docs";"31";"enregistrement auto"
"48";"Compléter";"L’extension native d’un document LibreOffice Writer est ______.";"";".odt";"Logiciels & Bureautique";"Leçon 026 — LibreOffice Writer";"extension odt";"Leçon 026 — LibreOffice Writer";"34";"extension odt"
"49";"QCM";"Où sont rangés les logiciels portables sur l’ordinateur selon le cours ?";"C:\USB-(PORTABLE-APPS)\PortableApps.|Clé 128GORENATA\USB-(PORTABLE-APPS)\PortableApps.|C:\Program Files.";"C:\USB-(PORTABLE-APPS)\PortableApps.|Clé 128GORENATA\USB-(PORTABLE-APPS)\PortableApps.";"Logiciels & Bureautique";"Leçon 025 — Logiciels portables";"emplacement portables";"Leçon 025 — Logiciels portables";"32";"emplacement portables"
"50";"VraiFaux";"Pour installer un logiciel en session Renata, faut-il entrer le mot de passe Administrateur ?";"";"Vrai";"Logiciels & Bureautique";"Leçon 030 — Installation logiciels";"setup mot de passe";"Leçon 030 — Installation logiciels";"39";"setup mot de passe"
"51";"Compléter";"Pour désinstaller un logiciel, cliquer droit sur le menu Windows puis choisir __________.";"";"Applications installées";"Logiciels & Bureautique";"Leçon 031 — Désinstallation logiciels";"désinstaller";"Leçon 031 — Désinstallation logiciels";"41";"désinstaller"
"52";"QCM";"Quels exemples de logiciels portables sont cités ?";"Notepad++.|Foxit PDF Reader.|LibreOffice.|Photoshop.";"Notepad++.|Foxit PDF Reader.|LibreOffice.";"Logiciels & Bureautique";"Leçon 024-025 — Logiciels portables";"exemples portables";"Leçon 024-025 — Logiciels portables";"32";"exemples portables"
"53";"VraiFaux";"Peut-on créer un fichier InDesign directement via Nouveau dans l’explorateur Windows ?";"";"Faux";"Logiciels & Bureautique";"Leçon 009 — Explorateur Windows";"indesign création";"Leçon 009 — Explorateur Windows";"16";"indesign création"
"54";"Compléter";"Pour exporter un document en PDF dans LibreOffice Writer, cliquer sur Fichier puis __________.";"";"Exporter en PDF";"Logiciels & Bureautique";"Leçon 026 — LibreOffice Writer";"export PDF";"Leçon 026 — LibreOffice Writer";"34";"export PDF"
"55";"QCM";"Quels navigateurs sont compatibles avec Google Drive et Google Docs ?";"Google Chrome.|Mozilla Firefox.|Microsoft Edge.|Safari.";"Google Chrome.|Mozilla Firefox.|Microsoft Edge.";"Logiciels & Bureautique";"Leçon 023 — Google Docs";"navigateurs";"Leçon 023 — Google Docs";"31";"navigateurs"
"56";"VraiFaux";"Les logiciels open source sont-ils modifiables selon leur licence ?";"";"Vrai";"Logiciels & Bureautique";"Leçon 024 — Logiciels open source";"open source";"Leçon 024 — Logiciels open source";"32";"open source"
"57";"Compléter";"Le lanceur des applications portables se nomme __________.exe";"";"Start";"Logiciels & Bureautique";"Leçon 025 — Logiciels portables";"Start.exe";"Leçon 025 — Logiciels portables";"32";"Start.exe"
"58";"QCM";"Quelles suites logicielles sont installées sur le PC selon le cours ?";"Microsoft Office.|Adobe.|Corel Draw.|SketchUp.|VirtualDJ.";"Microsoft Office.|Adobe.|Corel Draw.|SketchUp.|VirtualDJ.";"Logiciels & Bureautique";"Leçon 028-04 — Suites installées";"suites installées";"Leçon 028-04 — Suites installées";"36";"suites installées"
"59";"VraiFaux";"Word, LibreOffice et Google Docs peuvent-ils être utilisés pour des besoins courants ?";"";"Vrai";"Logiciels & Bureautique";"Leçon 035 — Google Drive & Docs";"équivalences";"Leçon 035 — Google Drive & Docs";"47";"équivalences"
"60";"Compléter";"Dans Google Drive, Mon Drive représente la ______ du stockage.";"";"racine";"Logiciels & Bureautique";"Leçon 035 — Google Drive & Docs";"racine";"Leçon 035 — Google Drive & Docs";"47";"racine"
"61";"VraiFaux";"Faut-il vérifier que l’on utilise le bon compte Gmail avant d'envoyer un e-mail ?";"";"Vrai";"Internet & Gmail";"Leçon 039 — Gmail";"bon compte Gmail";"Leçon 039 — Gmail";"59";"bon compte Gmail"
"62";"Compléter";"Dans le champ « A », il faut saisir le ou les __________.";"";"destinataires";"Internet & Gmail";"Leçon 039 — Gmail";"destinataires";"Leçon 039 — Gmail";"59";"destinataires"
"63";"QCM";"Quels navigateurs permettent d'accéder à Gmail et Google Drive ?";"Google Chrome.|Firefox.|Edge.|Internet Explorer.";"Google Chrome.|Firefox.|Edge.";"Internet & Gmail";"Leçon 023 — Google Docs";"navigateurs";"Leçon 023 — Google Docs";"31";"navigateurs"
"64";"VraiFaux";"Est-il inutile d’ajouter les contacts fréquents dans le carnet d’adresses Google ?";"";"Faux";"Internet & Gmail";"Leçon 039 — Gmail";"carnet d’adresses";"Leçon 039 — Gmail";"60";"carnet d’adresses"
"65";"Compléter";"Pour rechercher un contact dans Gmail, commencer à taper le ______.";"";"nom";"Internet & Gmail";"Leçon 039 — Gmail";"auto-complétion";"Leçon 039 — Gmail";"59";"auto-complétion"
"66";"QCM";"Que peut-on régler dans le volet Réseau pour le Wi-Fi ?";"Activer le Wi-Fi.|Voir la liste des réseaux.|Activer le Mode avion.|Régler le Bluetooth.";"Activer le Wi-Fi.|Voir la liste des réseaux.|Activer le Mode avion.";"Internet & Gmail";"Leçon 004 — Réglages rapides";"wifi réglages";"Leçon 004 — Réglages rapides";"11";"wifi réglages"
"67";"VraiFaux";"Le Mode avion coupe-t-il les communications sans fil ?";"";"Vrai";"Internet & Gmail";"Leçon 004 — Réglages rapides";"mode avion";"Leçon 004 — Réglages rapides";"11";"mode avion"
"68";"Compléter";"Pour ouvrir la fenêtre Exécuter sous Windows, utiliser __________.";"";"Windows+R";"Internet & Gmail";"Raccourcis — Windows";"Win+R";"Raccourcis — Windows";"35";"Win+R"
"69";"QCM";"Que faut-il vérifier avant d’envoyer un e-mail ?";"Être connecté avec le bon compte.|Le destinataire.|Un objet clair.|Utiliser une police fantaisie.";"Être connecté avec le bon compte.|Le destinataire.|Un objet clair.";"Internet & Gmail";"Leçon 039 — Gmail";"bonnes pratiques e-mail";"Leçon 039 — Gmail";"59";"bonnes pratiques e-mail"
"70";"VraiFaux";"Les pièces jointes peuvent-elles contenir des virus ou malwares ?";"";"Vrai";"Internet & Gmail";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"pièces jointes risque";"Leçon 029 — Quelles sont les principales règles de sécurité ?";"38";"pièces jointes risque"
"71";"VraiFaux";"Photoshop est-il un logiciel payant installable ?";"";"Vrai";"Multimédia & Création";"Leçon 037 — Photoshop";"Photoshop payant";"Leçon 037 — Photoshop";"50";"Photoshop payant"
